HrRacedate,HrRaceNo,HrRaceIndex,HrFP,HrNo,HrName,HrBrandNo,HrJockey,HrGear,HrComment,HrCoRunningUrComm
2019-09-01,2,2,14,6,劍追聲,B445,田泰安,B/TT,居中間位置，四百米處再無餘力。,
2019-09-01,2,2,2,2,葵涌精英,C173,薛恩,--,起步後收慢，走第三至第四疊。慢步速不利發揮。二百五十米處衝刺強勁，跑獲亞軍。,
2019-09-01,2,2,3,8,金錢炮,T022,何澤堯,B/H/XB,留居包尾位置，移入內欄。儘管慢步速不合發揮，三百米處衝刺強勁。,
2019-09-01,2,2,4,14,印印腳,A277,莫雷拉,SR1/TT,受推策上前，走第二疊。慢步速有利發揮。一百五十米處轉弱。,
2019-09-01,2,2,5,7,越跑越好,T140,潘頓,B/TT,收慢留後，走第二至第三疊。自四百米處起至二百米處受困。望空後衝刺強勁。,
2019-09-01,2,2,6,1,百里名駒,C097,利敬國,--,在推策下取得領先，以慢步速領放。二百米處力竭。,
2019-09-01,2,2,7,4,爪皇轟天,A291,郭能,TT,居中間位置，走第三疊。慢步速不利發揮。三百米處衝刺良佳。,
2019-09-01,2,2,8,3,埼豐,A083,黃皓楠,--,受力策，佔取包廂位置。慢步速有利發揮。二百米處轉弱。,
2019-09-01,2,2,9,10,賞心星,C251,沈拿,--,居後列。慢步速不利發揮。自四百米處起至二百米處缺乏空位。望空後略為衝刺。,
2019-09-01,3,3,1,5,帝豪福星,B348,潘頓,TT,出閘迅速，居領放馬外側。跑過四百米處時受催策，追前甚多。衝刺強勁，勝出賽事。氣管內有血。,
2019-09-01,3,3,2,2,四季旺,V410,薛恩,TT,居包尾位置。跑過八百五十米處時開始上前。轉直路彎時走外疊。直路上對催策反應良佳。,
2019-09-01,3,3,3,6,旌暉,V077,潘明輝,B2,出閘後留居中間位置。跑過五百五十米處時受催策。跑過二百米處時略為追前。衝刺良佳。,
2019-09-01,3,3,4,7,薈力之城,B280,莫雷拉,B,領放下走勢良佳。入直路時受催策。直路上保持同速。,
2019-09-01,3,3,5,1,有理共想,B180,田泰安,B,出閘迅速。居包廂位置。中段跑來搶口。直路上對催策反應平平。,
2019-09-01,3,3,6,3,勝得威,A025,杜美爾,CP2/TT,居尾列，走內欄。轉直路彎時固守內欄，節省腳程。直路上對催策毫無反應。,
2019-09-01,3,3,7,4,加州福星,A415,沈拿,B/TT,出閘笨拙。居前列。直路上力拼。跑過一百米處時墮退。,
2019-09-01,4,4,1,3,加州更好,B204,杜美爾,B/TT,出閘迅速，展步上前，居第二位，走第二疊。跑過六百米處時取得遮擋，居第三位。入直路後加速強勁。跑過三百米處時取得領先。最後二百米帶離對手，贏得漂亮。,
2019-09-01,4,4,10,11,贏多多,C004,李寶利,CP/H,出閘笨拙，在馬群之後切入，居尾二位置。趨近六百米處時受力策上前，轉直路彎時落後領放馬七個馬位。末段超越數匹漸呈疲態的賽駒，但從未有力一爭。,
2019-09-01,4,4,11,12,創紀錄,C168,黎海榮,B/TT,早段居中間位置，中段進一步墮退。轉直路彎時落後領放馬五個馬位。直路上移回內欄，但未能大幅度追前以展開挑戰。,
2019-09-01,4,4,12,1,大四喜,A301,陳嘉熙,B/TT,早段走外疊。受催策上前，趨近六百五十米處時推進至領放馬外側。趨近三百米處時並排領先。最後二百五十米未能再增速，墮退。,
2019-09-01,4,4,13,7,馬驕雄,B455,蔡明紹,--,出閘笨拙，失地，遙居包尾位置。持續居包尾位置。進入末段時落後七個半馬位。末段落後相同距離。,
2019-09-01,4,4,14,13,自由旺,A209,貝力斯,H/XB,起步後交出一貫前速。過了首二百五十米後切入內欄，取得領先。末段被追上。最後三百米呈現疲態，墮退多個馬位。（賽後被發現氣管內有痰。）,
2019-09-01,4,4,2,10,老友威威,T349,薛恩,TT,早段及中段留居中間位置，走內欄。最後三百五十米收慢，最後二百米穩步上前，跑獲亞軍。,
2019-09-01,4,4,3,2,順意寶,B164,何澤堯,CP-,前速不快，墮居尾三位置。跑過五百米處時移出更外疊。最後三百米追前甚多，緊隨首兩名馬匹過終點。,
2019-09-01,4,4,4,6,電子群星,C132,梁家俊,H,起步後受催策上前，居中間之前位置。早段後落後領放馬僅兩個馬位。入直路彎時跟隨頭馬。末段以佳勢力拼，僅失卻季軍。,
2019-09-01,4,4,5,5,傳奇,V357,潘頓,B/TT,出閘僅屬一般，墮居中間之後位置，走第三疊，有遮擋。入直路時落後領放馬三個半馬位。末段逐漸追前，緊隨前列馬匹過終點。,
2019-09-01,4,4,6,9,一路順風,C453,莫雷拉,--,早段沿途走勢輕鬆，居中間位置，走內欄。入直路後望空。末段以穩勢衝刺。,
2019-09-01,4,4,7,8,水箭龜,C450,郭能,--,居中間位置，在馬匹之間競跑，耗力不多。趨近三百米處嘗試推進時向外斜跑，與他駒互相碰撞。末段以穩勢衝刺。,
2019-09-01,4,4,8,14,電訊火箭,C137,田泰安,--,起步後收慢，向內移入，居中間位置，走第三疊。取得平衡，落後領放馬三又四分一個馬位。末段落後相同距離。,
2019-09-01,4,4,9,4,銀時,C216,楊明綸,--,展步上前，自九百米處起被超越，居領先馬匹之後位置。進入末段時跟前競跑，最後二百米未能再增速，末段墮退數個馬位。,
2019-09-01,5,5,1,6,熱血鬥士,C360,杜美爾,TT,出閘一般，走第二疊，居中間位置。跑過六百米處後開始發力。入直路後受催策，走勢極佳。最後一百米嚴重內閃。五十米處阻礙對手，取得領先，以四分三個馬位之先勝出。（亞軍馬匹騎師提出抗議，但被裁定不成立。）,
2019-09-01,5,5,10,4,捉金皇,B460,史卓豐,H/P,與對手同步出閘，走第二疊，落後三個馬位。直路彎落後相同距離。跑過五百米處後被帶出更外疊。直路上逐漸轉弱。（六百米處失去右前蹄的蹄鐵。）（見競賽事件報告。）,
2019-09-01,5,5,11,7,潮州小子,T412,楊明綸,TT,自第一檔出閘迅速，居領放馬五個馬位之後的位置，走內欄。直路彎走內欄節省腳程。直路初未能再增速。最後二百米轉弱。,
2019-09-01,5,5,12,1,真妙星,C059,梁家俊,B/H,出閘一般，走第二疊，居後列。直路彎居相若位置。直路上毫無進展。,
2019-09-01,5,5,13,14,幸運飛駒,A092,蘇狄雄,TT,起步時與對手互相碰撞，居前列，走第二疊。直路彎落後約一個馬位。直路上逐漸轉弱。,
2019-09-01,5,5,14,9,華麗再現,V326,黎海榮,B/H/TT,出閘普通，居後列，走內疊。直路彎前居相若位置。直路初轉弱。,
2019-09-01,5,5,2,11,三圓䮭路,C149,莫雷拉,--,出閘迅速，早段受催策上前，取得領先。一千米處讓對手超越。直路彎走勢輕鬆。跑過五百米處後向外移出。直路上保持極佳走勢。一百米處一度取得領先。五十米處被超越及受阻礙，跑獲亞軍。,
2019-09-01,5,5,3,3,怪獸都市,A190,巫顯東,V-/H,出閘迅速，受催策上前，取得領先。直路彎前輕鬆領放。入直路後保持極佳走勢。接近五十米處時被超越及受妨礙，跑獲季軍。,
2019-09-01,5,5,4,2,珍珠鳳凰,B201,薛恩,B,出閘普通，走第二疊，居中間之後位置。直路彎居相若位置。直路初向外移出。末段衝刺甚佳，跑獲殿軍，但未能構成威脅。,
2019-09-01,5,5,5,5,遨遊神駒,B168,利敬國,V/TT,出閘一般，居領放馬兩至三個馬位之後的位置，走內欄。直路彎前走內欄節省腳程。跑過五百五十米處後向外移出。直路上保持穩勢。,
2019-09-01,5,5,6,12,醉醒神,B436,何澤堯,H/XB,起步時與對手互相碰撞，在沒遮擋下走第三疊，居中間位置。直路彎居相若位置。直路上略有進展。,
2019-09-01,5,5,7,13,探險家,C008,田泰安,--,自最外檔出閘後留居包尾位置，落後約九個馬位。直路彎落後相同距離。直路上略為追前。,
2019-09-01,5,5,8,8,奔馳寶馬,V038,希威森,B/TT,出閘時向上跳躍，早段難以穩定走勢，在沒遮擋下走外疊，居後列，落後約六個馬位。接近九百米處時取得遮擋，但仍走第三疊。直路彎落後相同距離。直路上略有進展。,
2019-09-01,5,5,9,10,牛精輝煌,A118,潘明輝,H,出閘一般，在有遮擋下走第三疊，居後列，落後八個馬位。直路彎前居相若位置。直路上略為追前。,
2019-09-01,6,6,1,4,嘉應精英,C240,楊明綸,TT,居中間之前位置，在跑道中央競跑。以佳勢力拼，以一馬頸位之先勝出。,
2019-09-01,6,6,10,8,齊齊發,B356,蔡明紹,B1,出閘笨拙，居中間位置，走外欄。保持同速，一百五十米處洩氣。,
2019-09-01,6,6,11,11,表表馬,C233,李寶利,H1,居後列，走外欄。末段衝刺一般。,
2019-09-01,6,6,12,3,西夏之王,C295,郭能,CP/TT,居中間之後位置，在跑道中央競跑。二百五十米處轉弱。,
2019-09-01,6,6,13,12,豹子膽,C389,梁家俊,--,起步後受阻礙，居領放馬之後位置，走外欄。最後一百米未能加速及受困。,
2019-09-01,6,6,14,14,紅旗福星,B417,黃皓楠,TT,出閘笨拙，居中間之前位置，走外欄。三百米處無以為繼。,
2019-09-01,6,6,2,1,舞士精神,C180,潘頓,SR1/TT,居前列，在跑道中央競跑。一百五十米處取得領先，但最後五十米不敵頭馬。,
2019-09-01,6,6,3,5,陽光大地,A130,陳嘉熙,B,走外欄，居中間之後位置。追前，保持佳勢，跑獲季軍。,
2019-09-01,6,6,4,6,特醒,C060,沈拿,B/XB/TT-,居後列，走外欄。三百五十米處移至跑道中央。追前，以勁勢持續上前。,
2019-09-01,6,6,5,10,紅旺,C341,潘明輝,--,居領先馬匹之後位置，走外欄。保持普通走勢至終點。,
2019-09-01,6,6,6,9,天地僑福,C438,蘇狄雄,--,居中間之後位置，走外欄。追前。,
2019-09-01,6,6,7,7,愛添勝,B362,薛恩,--,起步時受擠迫，居中間之後位置，走外欄。保持同速至終點。,
2019-09-01,6,6,8,13,奇妙日,B332,田泰安,B/TT,居領放馬之後位置，走外欄。保持走勢至二百米處。,
2019-09-01,6,6,9,2,奮鬥同心,C314,莫雷拉,CP1,起步時受擠迫，上前移至外欄領放。僅能保持走勢至二百米處。（見競賽事件報告。）,
2019-09-01,7,7,1,3,金鎗六十,C238,何澤堯,--,自外檔出閘，居最後數位之內，伺機而上。跑過四百米處時開始上前。在催策下走勢良佳，接近終點時取得勝利。,
2019-09-01,7,7,2,6,牛角仔,C234,潘頓,--,出閘一般，居中間第五位，落後約三個馬位，走第二疊。入直路時居相若位置。受催策保持走勢，二百米處取得領先，僅於最後數步被超越。,
2019-09-01,7,7,3,7,一片光明,T268,希威森,--,早段受催策，居首數位之內。其後居領先馬匹稍後第三位，走第二疊。在催策下保持同速，未能加速。,
2019-09-01,7,7,4,4,開心好玩,B316,黎海榮,B/TT,自第一檔出閘一般。早段領先，其後墮退，在領放馬與內欄之間競跑。在催策下保持走勢，最後三百米力竭。,
2019-09-01,7,7,5,2,劍斷浪,V142,蔡明紹,--,出閘普通。早段居中間位置，走外疊。其後上前，領先短距離，走第二疊。保持走勢，最後二百米再無餘力。,
2019-09-01,7,7,6,1,勇闖者,A030,田泰安,P/TT,自大外檔出閘，瞬即留後。直路前尾隨馬群。入直路時一度受困。最後二百米衝刺凌厲。,
2019-09-01,7,7,7,5,嘜誰嘜誰,C323,杜美爾,B/TT,出閘稍慢。早段受催策。其後居後列第七位，走內欄。直路上以穩勢力拼，但從未能構成威脅。,
2019-09-01,7,7,8,9,瑩之光,B080,莫雷拉,B/TT,出閘笨拙，因而失地。居中間稍後第六位，走第二疊。入直路後受催策，但沿途毫無表現。,
2019-09-01,7,7,9,8,原班人馬,C164,巫顯東,TT,出閘普通，居中間稍前第四位，落後領放馬不逾三個馬位，走內欄。入直路後不久在催策下轉弱。,
2019-09-01,8,8,1,10,大金庫,C146,梁家俊,CP-/TT1,與對手同步躍出，追趕領先馬匹，走第二疊。直路初上前。二百五十米處加速取得領先。末段保持佳勢，力拒對手的挑戰。,
2019-09-01,8,8,10,12,一舖縱橫,B385,楊明綸,H/TT,展步迅速，切入內欄，以中等步速領放。二百五十米處被超越，未能保持走勢。跑過一百五十米處時顯著轉弱。,
2019-09-01,8,8,11,3,勇猛神駒,C462,薛恩,TT1,居中間位置，跑來搶口。直路彎外閃。入直路時保持同速。最後二百米力竭。,
2019-09-01,8,8,12,7,精彩輝煌,B411,田泰安,--,自大外檔出閘，在馬群之後切入，居包尾位置，落後中等步速的領放馬逾八個馬位。跑過三百米處時對催策毫無反應，瞬即被對手拋離。,
2019-09-01,8,8,2,2,百步穿雲,A165,何澤堯,H,居中間之後第七位。轉直路彎時落後領放馬五個馬位。直路上衝刺強勁。過終點時最為接近。,
2019-09-01,8,8,3,8,美麗精神,B409,巫顯東,CP/TT,受催策追趕領先馬匹。自四百米處起加速力不及頭馬。在騎師手足並用催策下力拼，跑獲季軍。,
2019-09-01,8,8,4,9,蒙古王,A098,希威森,--,留居後列。四百米處落後六個馬位。以佳勢上前，接近終點時取得殿軍。,
2019-09-01,8,8,5,11,幸福掌聲,C492,莫雷拉,SR1/TT1,留居後列。直路初落後領放馬僅逾六個馬位。接近終點時保持佳勢。首戰表現令人鼓舞。,
2019-09-01,8,8,6,6,駿皇綵,A170,蔡明紹,CP,出閘迅速，受約束居中間之前位置。四百米處居第五位。直路早段及中段保持穩勢。末段被後上馬匹超越。,
2019-09-01,8,8,7,1,紅衣優駿,A039,陳嘉熙,B,早段加速需時。自一千米處起上前追迫領放馬。直路上保持同速。一百米處被對手超越。,
2019-09-01,8,8,8,4,勁無比,B034,利敬國,V,出閘緩慢，恢復走勢，居中間之後位置。四百米處移出外疊，展開挑戰。走勢僅屬一般，未能威脅領先馬匹。（騎師未能就坐騎令人失望的表現提供解釋。）,
2019-09-01,8,8,9,5,得勝駒,B112,潘頓,B/XB/TT-,墮居後列。入直路時走外疊。走勢僅屬一般。（騎師報告，坐騎在大部分途程上外閃，並發出異常呼吸聲。）,
2019-09-01,9,9,1,1,萬事叻,C022,陳嘉熙,B/TT,出閘迅速，受催策上前領先。全程走勢良佳。跑過三百五十米處後受力策，保持甚佳走勢，力拒對手的挑戰。以短距離之先勝出賽事。,
2019-09-01,9,9,10,6,夢幻仙子,V222,田泰安,TT,與對手同步出閘，居中間之後位置，走外欄第三至第四疊。最後四百米受力策，但毫無反應。,
2019-09-01,9,9,11,5,美麗天驕,C274,利敬國,CP/TT1,出閘時向內斜跑，與他駒互相觸碰。受催策上前，居前列位置。接近三百五十米處時未能再加速，其後逐漸轉弱。,
2019-09-01,9,9,12,12,威先生,T334,黎海榮,H2/P2,自第一檔出閘普通，落後領放馬兩個馬位，靠近跑道中央競跑。接近五百米處時未能再加速，其後轉弱。,
2019-09-01,9,9,2,8,極速前進,V390,梁家俊,V/TT,出閘迅速，居領放馬之後位置，走外欄第三疊。跑過三百米處後受力策，衝刺良佳，但一直不敵領放馬。,
2019-09-01,9,9,3,4,追風者,B414,薛恩,B-,與對手同步出閘，落後領放馬兩至三個馬位，靠近外欄競跑。跑過四百五十米處後逐漸移至跑道中央。衝刺強勁，取得季軍。,
2019-09-01,9,9,4,3,京京千里,V328,潘頓,CP,出閘迅速，落後領放馬兩個馬位，靠近外欄競跑。跑過三百米處後受力策，以穩勢衝刺。,
2019-09-01,9,9,5,10,神威敖翔,V150,何澤堯,PC/TT,出閘俐落，居後列，靠近跑道中央競跑。最後四百米上前甚多，過終點時最為接近，但未能威脅首數名馬匹。,
2019-09-01,9,9,6,11,正陽清風,B343,蔡明紹,B,出閘時大力勒避，居後列，走外欄。四百米處仍落後七個馬位，其後走勢良佳。過終點時最為接近，但未能威脅首數名馬匹。,
2019-09-01,9,9,7,9,連利福將,B475,潘明輝,--,與對手同步出閘，居中間位置，走外欄第三疊。接近六百五十米處時靠近他駒的後蹄處於窘境及失去平衡。跑過四百米處後受力策，但未能上前。,
2019-09-01,9,9,8,7,知道必勝,C383,莫雷拉,TT,出閘普通，落後約兩個馬位，走外欄第四疊。跑過四百五十米處後受力策，但反應平平。自一百五十米處起轉弱。（見競賽事件報告。）,
2019-09-01,9,9,9,2,神舟寶駒,C269,沈拿,--,出閘時與他駒互相觸碰，居後列，靠近跑道中央競跑。最後四百米受催策，但反應平平。,
2019-09-08,1,11,1,2,福喜多多,B128,莫雷拉,B1,自第一檔出閘普通，居領放馬之後位置，走內欄。直路彎走內欄以省腳程。直路初未能望空。跑過二百五十米處後望空。衝刺強勁，以一又四分三個馬位之先勝出賽事。,
2019-09-08,1,11,10,4,好友祥勝,C220,巫顯東,B,出閘笨拙，與他駒互相碰撞。留居後列，走第二疊。直路彎未能再加速。直路初轉弱。,
2019-09-08,1,11,2,6,洪荒駿駒,A031,薛恩,V,出閘迅速，居中間位置，走第二疊。跑過六百五十米處後略為推進。入直路時走第四疊。衝刺良佳，取得亞軍。,
2019-09-08,1,11,3,1,勁快步,A053,潘頓,B,出閘迅速，受催策上前領先。跑過七百五十米處後被對手挑戰。直路彎並排領先。直路初保持佳勢。接近一百米處時未能再加速及被超越，其後逐漸轉弱。,
2019-09-08,1,11,4,10,樂無極,B277,潘明輝,B-/V1,自中檔出閘普通，前速不快。早段居中間位置，走大外疊。其後受催策上前，居領放馬外側。直路彎並排領先。直路初未能再加速，保持穩勢至終點。,
2019-09-08,1,11,5,5,蜜運,B341,蘇狄雄,H-/B/TT,出閘普通，居中間之後位置，走內欄。接近五百米處起走第二疊。直路上被帶出更外疊，以穩勢衝刺。,
2019-09-08,1,11,6,9,聚歡笑,T282,田泰安,B/H,與對手同步出閘，受催策上前。居前列位置，走第二疊。直路彎落後四分三個馬位。直路初未能再加速及受擠迫，其後逐漸轉弱。,
2019-09-08,1,11,7,8,砂漿邦,A097,黎海榮,TT-,出閘笨拙，觸碰他駒。居中間位置，走第三疊，有遮擋。直路彎未能再加速。一百米處前保持同速，其後收慢。,
2019-09-08,1,11,8,7,神火金剛,B004,梁家俊,TT-,出閘笨拙，與他駒互相碰撞。居後列，走內疊。直路彎落後五個馬位。直路上未能以勁勢衝刺。,
2019-09-08,1,11,9,3,至尊大師,A357,杜美爾,B/TT,出閘略為緩慢，欠缺前速。居後列，走外疊。直路彎未能再加速。直路上受催策，但毫無反應。（賽後被發現中暑。）,
2019-09-08,10,20,1,8,心多多,B264,潘頓,CP,與對手同步出閘，走第二疊，居中間之前位置，落後約三個馬位。直路彎落後相同距離。末段衝刺凌厲，勝出賽事。,
2019-09-08,10,20,10,9,幸運時代,A045,希威森,B,自最外檔出閘後留居包尾位置，落後十一個馬位。直路彎進佔較接近位置，但仍落後七至八個馬位。直路上略有進展。,
2019-09-08,10,20,11,4,黃山,C214,利敬國,B1,自第九檔出閘後留居後列，落後約十個馬位。入直路時居包尾位置。直路上衝刺乏力。,
2019-09-08,10,20,12,5,盛大光輝,C121,巫顯東,CP-,自第十一檔出閘迅速，受催策上前，居前列，但走外疊。跑過九百五十米處後移入內欄。直路彎領先一個馬位。直路初未能再增速。接近三百米處時被超越，其後逐漸轉弱。,
2019-09-08,10,20,13,13,開懷大少,A278,黎海榮,B/TT,出閘時被碰撞，沿欄居中間位置，落後四個馬位。直路彎落後相同距離。直路初轉弱。,
2019-09-08,10,20,14,6,大運當頭,C139,杜美爾,B/TT,出閘迅速，居前列。接近九百五十米處時讓對手超越。直路彎緊隨領放馬。直路上逐漸轉弱。,
2019-09-08,10,20,2,1,馬友冠,C299,郭能,--,出閘笨拙，因而失地，恢復走勢後走第二疊，居中間位置，落後約四個馬位。直路彎前居相同位置。末段衝刺甚佳，跑獲亞軍，但未能威脅頭馬。,
2019-09-08,10,20,3,14,佳運來,T380,蘇狄雄,--,起步時向外斜跑，碰撞他駒，居後列，走內疊。直路彎沿欄進佔稍前位置。直路上移出外疊，末段衝刺強勁，跑獲一席位置。,
2019-09-08,10,20,4,11,紀利雄星,C041,田泰安,B1,出閘迅速，走第二疊，落後約兩個馬位。直路彎居相若位置。直路上保持佳勢，跑獲殿軍。,
2019-09-08,10,20,5,7,活力名駒,B260,潘明輝,H/XB/TT,出閘迅速，早段居前列，走但外疊。自九百米處起走第二疊。直路彎落後四分三個馬位。直路初受催策，走勢甚佳。三百米處取得領先，其後不久未能再增速，被超越。最後一百米轉弱。,
2019-09-08,10,20,6,12,我𢥧意 (,C038,梁家俊,CP-/B1/H1/TT,與對手同步出閘，走第二疊，居後列。接近一千零五十米處時收慢避開他駒後蹄。直路彎落後六至七個馬位。直路上進展甚佳，但未能構成威脅。,
2019-09-08,10,20,7,2,請跟我來,B440,莫雷拉,TT1,自外檔出閘迅速，但未能切入內疊，早段走大外疊，居中間之後位置。自接近一千米處起走第二疊。入直路時落後約五個馬位。直路上略有進展。,
2019-09-08,10,20,8,3,酷比仔,A297,薛恩,B,與對手同步出閘，早段走第二疊，居中間之後位置。接近九百米處時移入內欄。跑過五百米處後向外移出。末段保持穩勢。,
2019-09-08,10,20,9,10,自在人生,B169,陳嘉熙,XB/TT,自第一檔出閘迅速，居領放馬三個馬位之後的位置，走內欄。直路彎走內欄節省腳程。跑過四百五十米處後向外移出。直路初未能再增速。最後二百米轉弱。,
2019-09-08,2,12,1,9,加州明雋,B363,田泰安,B-/TT,輕鬆切入內欄，以有利的緩慢步速領放。一放到底。,
2019-09-08,2,12,2,2,快樂實在,A152,莫雷拉,--,收慢留居中間位置。步速緩慢，不合發揮。三百米處仍以佳勢衝刺。,
2019-09-08,2,12,3,3,陽光,A371,李寶利,V,居包廂位置，自四百米處至二百米處空位不足。走勢良佳，跑獲季軍。,
2019-09-08,2,12,4,1,大眾精英,A416,潘頓,XB,受力策上前。直路上僅能保持位置。,
2019-09-08,2,12,5,7,新界之星,A081,梁家俊,--,收慢留居領放馬稍後位置。步速緩慢，有利發揮。二百五十米處轉弱。,
2019-09-08,2,12,6,8,事必獲利,T002,史卓豐,TT,居後列。步速緩慢，不合發揮。直路上僅能保持位置。,
2019-09-08,2,12,7,4,君臨大地,V192,黎海榮,SR/TT,收慢留居後列，走第三疊。步速緩慢，不合發揮。保持普通走勢。,
2019-09-08,2,12,8,5,蒜頭爺爺,V039,沈拿,B,收慢留居後列，走第二疊。步速緩慢，不利發揮。衝刺乏力。,
2019-09-08,2,12,9,6,盛勢,V243,潘明輝,--,收慢留居中間位置，走第三疊。步速緩慢，不合發揮。毫無進展。,
2019-09-08,3,13,1,4,麯院風荷,T112,史卓豐,B/XB/TT,起步時受擠迫，居尾列。接近四百米處時推進，直路上持續走內欄。末段衝刺強勁，勝出賽事。,
