race_id,date,venue,race_no,config,surface,distance,going,horse_ratings,prize,race_class,sec_time1,sec_time2,sec_time3,sec_time4,sec_time5,sec_time6,sec_time7,time1,time2,time3,time4,time5,time6,time7,place_combination1,place_combination2,place_combination3,place_combination4,place_dividend1,place_dividend2,place_dividend3,place_dividend4,win_combination1,win_dividend1,win_combination2,win_dividend2
14,1997-06-04,HV,5,A,0,1650,GOOD TO FIRM,60-40,625000.0,4,27.73,24.89,24.66,23.55,,,,27.73,52.62,77.28,100.83,,,,12,3,10.0,,91.0,34.0,22.0,,12,265.5,,
15,1997-06-04,HV,6,A,0,1000,GOOD TO FIRM,80-60,850000.0,3,12.84,21.5,22.83,,,,,12.84,34.34,57.17,,,,,8,2,4.0,,20.0,80.0,42.5,,8,66.0,,
16,1997-06-04,HV,7,A,0,1650,GOOD TO FIRM,80-60,850000.0,3,27.5,22.83,25.0,24.99,,,,27.5,50.33,75.33,100.32,,,,11,8,7.0,,15.5,35.0,15.5,,11,56.0,,
17,1997-06-04,HV,8,A,0,1200,GOOD TO FIRM,100-80,1150000.0,2,24.02,22.53,23.45,,,,,24.02,46.55,70.0,,,,,1,7,11.0,,15.5,20.5,28.0,,1,33.5,,
18,1997-06-08,ST,1,A+3,0,1000,GOOD TO FIRM,60-40,625000.0,4,13.25,20.8,22.84,,,,,13.25,34.05,56.89,,,,,3,5,1.0,,40.0,13.0,34.5,,3,141.0,,
19,1997-06-08,ST,2,A+3,0,1600,GOOD TO FIRM,60-40,625000.0,4,24.83,23.28,23.59,23.5,,,,24.83,48.11,71.7,95.2,,,,7,10,1.0,,28.0,21.5,21.0,,7,106.0,,
20,1997-06-08,ST,3,A+3,0,1000,GOOD TO FIRM,80-60,850000.0,3,13.38,20.88,22.32,,,,,13.38,34.26,56.58,,,,,9,8,3.0,,35.5,38.0,38.5,,9,181.0,,
21,1997-06-08,ST,4,A,1,1200,GOOD,60-40,625000.0,4,23.98,22.11,23.64,,,,,23.98,46.09,69.73,,,,,5,6,1.0,,20.0,17.5,34.0,,5,70.0,,
22,1997-06-08,ST,5,A+3,0,1400,GOOD TO FIRM,40-15,485000.0,5,13.86,22.47,23.23,23.44,,,,13.86,36.33,59.56,83.0,,,,9,6,3.0,,19.0,21.5,33.5,,9,46.0,,
23,1997-06-08,ST,6,A+3,0,1400,GOOD TO FIRM,60-40,625000.0,4,13.69,23.2,23.53,22.85,,,,13.69,36.89,60.42,83.27,,,,2,3,12.0,,18.5,13.5,52.5,,2,63.0,,
24,1997-06-08,ST,7,A+3,0,1600,GOOD TO FIRM,95-75,1150000.0,2,25.67,25.45,23.38,21.97,,,,25.67,51.12,74.5,96.47,,,,8,1,2.0,,12.5,21.5,36.0,,8,26.5,,
25,1997-06-08,ST,8,A,1,1200,GOOD,80-60,850000.0,3,23.78,22.66,22.96,,,,,23.78,46.44,69.4,,,,,9,5,7.0,,12.5,30.0,32.0,,9,25.5,,
26,1997-06-08,ST,9,A+3,0,1400,GOOD TO FIRM,115-90,1750000.0,1,13.52,22.91,22.95,22.42,,,,13.52,36.43,59.38,81.8,,,,3,9,6.0,,17.5,22.0,18.5,,3,59.0,,
27,1997-06-08,ST,10,A+3,0,1400,GOOD TO FIRM,85-60,850000.0,3,13.75,22.06,23.89,22.95,,,,13.75,35.81,59.7,82.65,,,,5,4,6.0,,31.0,21.5,32.5,,5,147.5,,
28,1997-06-11,HV,1,B,0,1800,GOOD TO YIELDING,60-40,625000.0,4,13.86,22.89,24.25,25.02,24.6,,,13.86,36.75,61.0,86.02,110.62,,,1,5,3.0,,23.5,28.0,21.0,,1,93.0,,
29,1997-06-11,HV,2,B,0,1000,GOOD TO YIELDING,40-15,485000.0,5,13.17,21.92,23.26,,,,,13.17,35.09,58.35,,,,,10,6,9.0,,29.5,35.5,29.5,,10,96.0,,
30,1997-06-11,HV,3,B,0,1200,GOOD TO YIELDING,60-40,625000.0,4,24.39,23.49,23.12,,,,,24.39,47.88,71.0,,,,,8,9,7.0,,79.5,16.0,25.0,,8,232.5,,
31,1997-06-11,HV,4,B,0,1650,GOOD TO YIELDING,40-15,485000.0,5,27.88,24.12,25.08,24.61,,,,27.88,52.0,77.08,101.69,,,,3,10,4.0,,13.0,40.5,41.5,,3,27.0,,
32,1997-06-11,HV,5,B,0,1650,GOOD TO YIELDING,65-40,625000.0,4,27.64,23.56,25.27,24.7,,,,27.64,51.2,76.47,101.17,,,,9,10,2.0,,23.0,53.0,19.0,,9,63.5,,
33,1997-06-11,HV,6,B,0,1800,GOOD,80-60,850000.0,3,13.91,22.83,24.62,25.52,23.91,,,13.91,36.74,61.36,86.88,110.79,,,10,5,1.0,,51.5,21.0,15.5,,10,202.0,,
34,1997-06-11,HV,7,B,0,1200,GOOD,80-60,850000.0,3,24.16,23.28,23.04,,,,,24.16,47.44,70.48,,,,,5,9,3.0,,13.5,21.5,40.0,,5,26.0,,
35,1997-06-11,HV,8,B,0,1650,GOOD,95-75,1150000.0,2,27.43,23.92,24.96,24.2,,,,27.43,51.35,76.31,100.51,,,,10,9,4.0,,40.0,15.0,58.0,,10,201.5,,
36,1997-06-15,ST,1,B+2,0,1200,GOOD TO FIRM,60-40,625000.0,4,23.75,22.17,23.75,,,,,23.75,45.92,69.67,,,,,10,6,2.0,,17.5,24.0,14.0,,10,67.5,,
37,1997-06-15,ST,2,B+2,0,1600,GOOD TO FIRM,40-15,485000.0,5,24.5,23.05,24.11,24.52,,,,24.5,47.55,71.66,96.18,,,,12,5,9.0,,30.0,15.5,24.5,,12,87.0,,
38,1997-06-15,ST,3,B+2,0,1200,GOOD TO FIRM,60-40,625000.0,4,23.7,22.88,23.39,,,,,23.7,46.58,69.97,,,,,3,7,8.0,,18.0,22.5,22.0,,3,53.5,,
39,1997-06-15,ST,4,B+2,0,1400,GOOD TO FIRM,40-15,485000.0,5,13.81,21.72,23.67,24.01,,,,13.81,35.53,59.2,83.21,,,,4,9,14.0,,29.5,120.0,50.0,,4,93.0,,
40,1997-06-15,ST,5,B+2,0,1400,GOOD TO FIRM,60-40,625000.0,4,13.72,22.11,23.34,23.37,,,,13.72,35.83,59.17,82.54,,,,2,10,5.0,,21.0,28.0,15.0,,2,61.5,,
41,1997-06-15,ST,6,B+2,0,1600,GOOD TO FIRM,60-40,625000.0,4,24.52,22.92,24.05,23.79,,,,24.52,47.44,71.49,95.28,,,,2,8,9.0,,18.5,59.0,276.0,,2,54.0,,
42,1997-06-15,ST,7,B+2,0,1200,GOOD TO FIRM,100-80,1150000.0,2,23.59,22.5,22.92,,,,,23.59,46.09,69.01,,,,,3,2,4.0,,32.5,16.5,12.5,,3,123.0,,
43,1997-06-15,ST,8,B+2,0,1200,GOOD TO FIRM,80-60,850000.0,3,23.77,22.25,23.57,,,,,23.77,46.02,69.59,,,,,7,5,1.0,,97.0,24.5,136.5,,7,519.0,,
44,1997-06-15,ST,9,B+2,0,1200,GOOD TO FIRM,80-60,850000.0,3,24.12,22.41,23.19,,,,,24.12,46.53,69.72,,,,,11,13,2.0,,18.5,12.5,26.5,,11,56.5,,
45,1997-06-15,ST,10,B+2,0,1600,GOOD TO FIRM,80-60,850000.0,3,24.14,23.31,24.2,23.48,,,,24.14,47.45,71.65,95.13,,,,13,14,8.0,,22.5,99.0,54.0,,13,68.0,,
46,1997-06-18,ST,1,C,0,1800,GOOD TO FIRM,60-40,625000.0,4,14.03,22.64,24.0,24.55,23.55,,,14.03,36.67,60.67,85.22,108.77,,,11,1,9.0,,53.0,24.5,72.0,,11,187.5,,
47,1997-06-18,ST,2,C,0,1600,GOOD TO FIRM,60-40,625000.0,4,24.97,23.25,23.41,23.65,,,,24.97,48.22,71.63,95.28,,,,7,9,1.0,,14.5,14.0,16.5,,7,36.5,,
48,1997-06-18,ST,3,C,0,1800,GOOD TO FIRM,80-60,850000.0,3,14.48,24.16,24.5,23.8,22.61,,,14.48,38.64,63.14,86.94,109.55,,,3,8,5.0,,13.0,14.0,18.5,,3,22.5,,
49,1997-06-18,ST,4,C,0,1000,GOOD TO FIRM,60-40,625000.0,4,13.58,21.03,23.25,,,,,13.58,34.61,57.86,,,,,9,2,6.0,,73.0,49.5,25.5,,9,233.0,,
50,1997-06-18,ST,5,C,0,1400,GOOD TO FIRM,40-15,485000.0,5,13.8,21.59,23.77,23.71,,,,13.8,35.39,59.16,82.87,,,,6,8,3.0,,44.5,32.5,13.5,,3,26.0,,
51,1997-06-18,ST,6,C,0,1000,GOOD TO FIRM,80-60,850000.0,3,13.62,20.91,22.58,,,,,13.62,34.53,57.11,,,,,8,14,10.0,,30.5,13.0,63.5,,8,121.5,,
52,1997-06-18,ST,7,C,0,1400,GOOD TO FIRM,60-40,625000.0,4,13.62,21.59,24.05,23.69,,,,13.62,35.21,59.26,82.95,,,,11,2,8.0,,160.5,13.0,29.5,,11,815.5,,
53,1997-06-18,ST,8,C,0,1400,GOOD TO FIRM,G,2300000.0,13,13.53,22.47,23.17,22.06,,,,13.53,36.0,59.17,81.23,,,,4,6,8.0,,15.5,24.5,33.0,,4,46.0,,
54,1997-06-18,ST,9,C,0,1400,GOOD TO FIRM,80-60,850000.0,3,14.09,23.0,23.44,22.33,,,,14.09,37.09,60.53,82.86,,,,9,4,5.0,,49.0,24.0,14.0,,9,167.5,,
55,1997-06-18,ST,10,C,0,1400,GOOD TO FIRM,100-80,1150000.0,2,14.0,22.0,22.72,22.96,,,,14.0,36.0,58.72,81.68,,,,1,11,4.0,,23.0,34.0,36.5,,1,83.0,,
56,1997-06-22,ST,1,C+3,0,1600,GOOD TO YIELDING,80-60,850000.0,3,24.77,23.58,23.31,23.7,,,,24.77,48.35,71.66,95.36,,,,7,8,1.0,,21.0,13.0,13.5,,7,65.0,,
57,1997-06-22,ST,2,A,1,1650,WET SLOW,65-40,625000.0,4,28.73,25.39,24.08,22.81,,,,28.73,54.12,78.2,101.01,,,,4,2,7.0,,11.5,15.0,25.0,,4,20.5,,
58,1997-06-22,ST,3,C+3,0,1800,GOOD TO YIELDING,100-80,1150000.0,2,14.06,24.72,24.28,22.97,22.44,,,14.06,38.78,63.06,86.03,108.47,,,7,4,3.0,,11.0,23.0,13.5,,7,28.5,,
59,1997-06-22,ST,4,C+3,0,1800,GOOD TO YIELDING,40-10,485000.0,5,13.78,22.75,25.17,24.2,23.99,,,13.78,36.53,61.7,85.9,109.89,,,12,2,10.0,,18.0,36.0,18.5,,12,57.5,,
60,1997-06-22,ST,5,A,1,1200,WET SLOW,60-40,625000.0,4,24.23,22.47,23.59,,,,,24.23,46.7,70.29,,,,,11,7,3.0,,15.0,12.5,34.5,,11,41.5,,
61,1997-06-22,ST,6,A,1,1200,WET SLOW,100-80,1150000.0,2,23.64,22.22,23.56,,,,,23.64,45.86,69.42,,,,,12,5,7.0,,14.0,65.5,32.5,,12,38.0,,
62,1997-06-22,ST,7,C+3,0,1400,GOOD TO YIELDING,60-40,625000.0,4,13.86,22.5,22.74,23.81,,,,13.86,36.36,59.1,82.91,,,,1,9,5.0,,11.5,22.5,124.5,,1,19.5,,
63,1997-06-22,ST,8,C+3,0,1000,GOOD TO YIELDING,G,2300000.0,13,13.03,20.52,22.52,,,,,13.03,33.55,56.07,,,,,2,10,11.0,,14.5,32.5,35.0,,2,33.0,,
64,1997-06-22,ST,9,A,1,1200,WET SLOW,80-60,850000.0,3,23.54,22.32,23.56,,,,,23.54,45.86,69.42,,,,,6,5,8.0,,25.0,16.5,18.0,,6,72.5,,
65,1997-06-22,ST,10,C+3,0,1400,GOOD TO YIELDING,80-60,850000.0,3,13.8,21.77,23.28,23.19,,,,13.8,35.57,58.85,82.04,,,,6,10,2.0,,54.0,14.5,45.0,,6,224.5,,
66,1997-06-25,HV,1,C,0,1650,GOOD,40-10,485000.0,5,28.0,24.17,25.33,23.81,,,,28.0,52.17,77.5,101.31,,,,1,3,2.0,,50.5,16.5,34.5,,1,154.5,,
67,1997-06-25,HV,2,C,0,1800,GOOD,60-40,625000.0,4,13.78,23.33,24.72,25.19,23.92,,,13.78,37.11,61.83,87.02,110.94,,,5,1,9.0,,16.0,29.0,35.0,,5,42.0,,
68,1997-06-25,HV,3,C,0,1650,GOOD,100-80,1150000.0,2,28.06,24.52,24.44,23.2,,,,28.06,52.58,77.02,100.22,,,,10,7,2.0,,16.5,25.5,38.5,,10,45.5,,
69,1997-06-25,HV,4,C,0,1200,GOOD,60-40,625000.0,4,24.25,22.94,23.58,,,,,24.25,47.19,70.77,,,,,3,2,9.0,,13.5,27.0,25.5,,3,32.5,,
70,1997-06-25,HV,5,C,0,1650,GOOD,60-40,625000.0,4,27.92,24.28,25.44,23.61,,,,27.92,52.2,77.64,101.25,,,,1,6,10.0,,20.0,54.0,15.0,,1,64.5,,
71,1997-06-25,HV,6,C,0,1200,GOOD,80-60,850000.0,3,23.97,22.62,23.36,,,,,23.97,46.59,69.95,,,,,2,6,11.0,,80.0,12.5,24.0,,2,390.0,,
72,1997-06-25,HV,7,C,0,1650,GOOD,80-60,850000.0,3,28.58,24.73,25.23,23.34,,,,28.58,53.31,78.54,101.88,,,,5,7,12.0,,13.0,14.5,35.5,,5,25.5,,
73,1997-06-25,HV,8,C,0,1650,GOOD,80-60,850000.0,3,28.11,24.14,25.19,23.94,,,,28.11,52.25,77.44,101.38,,,,8,1,12.0,,26.0,20.0,19.0,,8,84.0,,
74,1997-06-29,ST,1,A,0,1200,GOOD TO FIRM,40-15,485000.0,5,24.55,22.98,22.96,,,,,24.55,47.53,70.49,,,,,10,11,9.0,,25.0,87.5,44.5,,10,90.5,,
75,1997-06-29,ST,2,A,0,1400,GOOD TO FIRM,40-15,485000.0,5,13.58,22.24,24.0,23.87,,,,13.58,35.82,59.82,83.69,,,,7,4,8.0,,16.5,28.0,18.0,,7,60.5,,
76,1997-06-29,ST,3,A,0,1200,GOOD TO FIRM,60-40,625000.0,4,24.41,22.83,23.22,,,,,24.41,47.24,70.46,,,,,10,6,13.0,,35.5,12.5,133.5,,10,176.5,,
77,1997-06-29,ST,4,A,0,1200,GOOD TO FIRM,60-40,625000.0,4,23.96,23.34,23.16,,,,,23.96,47.3,70.46,,,,,3,11,9.0,,17.0,145.0,73.5,,3,48.0,,
78,1997-06-29,ST,5,A,0,1400,GOOD TO FIRM,60-40,625000.0,4,13.69,21.91,23.67,23.52,,,,13.69,35.6,59.27,82.79,,,,6,13,2.0,,13.5,42.0,73.5,,6,25.0,,
79,1997-06-29,ST,6,A,0,1200,GOOD TO FIRM,80-60,850000.0,3,24.12,22.41,23.0,,,,,24.12,46.53,69.53,,,,,10,9,7.0,,16.0,16.5,26.0,,10,45.0,,
80,1997-06-29,ST,7,A,0,1600,GOOD TO FIRM,65-40,625000.0,4,24.66,23.22,24.12,23.82,,,,24.66,47.88,72.0,95.82,,,,6,13,4.0,,29.5,48.5,33.0,,6,88.5,,
81,1997-06-29,ST,8,A,0,1800,GOOD TO FIRM,115-90,1750000.0,1,13.75,23.12,23.69,23.39,23.63,,,13.75,36.87,60.56,83.95,107.58,,,1,7,2.0,,23.0,19.0,33.0,,1,75.5,,
82,1997-06-29,ST,9,A,0,1200,GOOD TO FIRM,100-80,1150000.0,2,23.89,22.34,23.08,,,,,23.89,46.23,69.31,,,,,8,7,13.0,,21.0,23.0,47.5,,8,65.0,,
83,1997-06-29,ST,10,A,0,1400,GOOD TO FIRM,80-60,850000.0,3,13.88,22.28,24.64,22.43,,,,13.88,36.16,60.8,83.23,,,,12,8,9.0,,14.0,20.0,30.0,,12,29.5,,
84,1997-06-29,ST,11,A,0,1600,GOOD TO FIRM,95-75,1150000.0,2,25.44,23.45,23.62,22.99,,,,25.44,48.89,72.51,95.5,,,,12,4,1.0,,14.0,26.0,41.5,,12,26.5,,
85,1997-07-02,HV,1,C+3,0,1800,GOOD,40-10,485000.0,5,13.92,22.62,24.38,26.05,24.72,,,13.92,36.54,60.92,86.97,111.69,,,12,8,4.0,,51.0,55.5,48.0,,12,123.5,,
86,1997-07-02,HV,2,C+3,0,1200,GOOD,60-40,625000.0,4,23.99,22.91,23.74,,,,,23.99,46.9,70.64,,,,,9,10,6.0,,39.0,14.0,25.5,,9,140.5,,
87,1997-07-02,HV,3,C+3,0,1000,GOOD,60-40,625000.0,4,12.99,21.84,22.92,,,,,12.99,34.83,57.75,,,,,8,2,5.0,,13.5,13.0,46.0,,8,39.5,,
88,1997-07-02,HV,4,C+3,0,1200,GOOD,40-10,485000.0,5,24.59,23.19,23.35,,,,,24.59,47.78,71.13,,,,,7,10,11.0,,52.0,59.0,17.0,,7,165.5,,
89,1997-07-02,HV,5,C+3,0,1650,GOOD,60-40,625000.0,4,27.48,23.25,24.59,25.03,,,,27.48,50.73,75.32,100.35,,,,10,9,5.0,,52.5,17.5,16.0,,10,180.0,,
90,1997-07-02,HV,6,C+3,0,1000,GOOD,80-60,850000.0,3,13.03,21.53,23.18,,,,,13.03,34.56,57.74,,,,,5,6,7.0,,14.0,29.0,54.5,,5,26.5,,
91,1997-07-02,HV,7,C+3,0,1200,GOOD,80-60,850000.0,3,24.11,22.86,23.31,,,,,24.11,46.97,70.28,,,,,1,3,12.0,,26.0,54.5,13.0,,1,89.0,,
92,1997-07-02,HV,8,C+3,0,1800,GOOD,80-60,850000.0,3,13.73,24.22,23.8,25.7,23.73,,,13.73,37.95,61.75,87.45,111.18,,,9,7,2.0,,22.5,18.0,40.5,,9,89.5,,
93,1997-07-06,HV,1,A,0,2200,GOOD,60-40,625000.0,4,14.61,24.34,25.75,26.11,24.31,24.25,,14.61,38.95,64.7,90.81,115.12,139.37,,10,6,1.0,,40.0,19.5,18.0,,10,101.5,,
94,1997-07-06,HV,2,A,0,1650,GOOD,40-15,485000.0,5,28.0,23.99,25.17,24.83,,,,28.0,51.99,77.16,101.99,,,,10,4,11.0,,33.0,20.5,51.0,,10,135.0,,
95,1997-07-06,HV,3,A,0,1200,GOOD,60-40,625000.0,4,23.98,22.56,23.78,,,,,23.98,46.54,70.32,,,,,3,7,6.0,,12.0,24.5,45.0,,3,23.5,,
96,1997-07-06,HV,4,A,0,1650,GOOD,60-40,625000.0,4,29.23,24.23,24.72,23.75,,,,29.23,53.46,78.18,101.93,,,,7,10,2.0,,25.0,12.5,41.0,,7,81.0,,
97,1997-07-06,HV,5,A,0,1650,GOOD,60-40,625000.0,4,28.02,24.0,26.05,23.96,,,,28.02,52.02,78.07,102.03,,,,6,7,4.0,,23.5,32.0,21.5,,6,85.0,,
98,1997-07-06,HV,6,A,0,1650,GOOD,80-60,850000.0,3,27.58,24.41,25.38,24.11,,,,27.58,51.99,77.37,101.48,,,,5,12,7.0,,18.0,22.0,43.0,,5,49.5,,
99,1997-07-06,HV,7,A,0,1650,GOOD,85-60,850000.0,3,28.2,24.64,25.27,23.6,,,,28.2,52.84,78.11,101.71,,,,8,9,5.0,,21.0,33.5,43.0,,8,66.5,,
100,1997-07-06,HV,8,A,0,1200,GOOD,80-60,850000.0,3,24.36,22.88,23.48,,,,,24.36,47.24,70.72,,,,,5,10,11.0,,16.0,17.5,48.5,,5,60.5,,
101,1997-07-06,HV,9,A,0,1200,GOOD,80-60,850000.0,3,23.91,24.11,22.99,,,,,23.91,48.02,71.01,,,,,5,9,10.0,,21.0,39.5,27.0,,5,65.0,,
102,1997-07-06,HV,10,A,0,1200,GOOD,105-80,1400000.0,1,23.42,23.16,23.36,,,,,23.42,46.58,69.94,,,,,4,10,8.0,,13.0,38.0,18.0,,4,28.5,,
103,1997-07-06,HV,11,A,0,1650,GOOD,105-80,1400000.0,1,28.09,25.83,25.44,22.39,,,,28.09,53.92,79.36,101.75,,,,7,11,2.0,,26.0,33.5,20.5,,7,80.5,,
104,1997-07-13,ST,1,B,0,1400,GOOD,40-15,485000.0,5,13.77,21.58,23.23,24.38,,,,13.77,35.35,58.58,82.96,,,,8,7,11.0,,15.0,23.0,41.0,,8,31.5,,
105,1997-07-13,ST,2,B,0,1400,GOOD,60-40,625000.0,4,13.86,22.66,23.99,22.87,,,,13.86,36.52,60.51,83.38,,,,10,3,8.0,,81.0,13.5,16.5,,10,324.5,,
106,1997-07-13,ST,3,B,0,1200,GOOD,60-40,625000.0,4,23.97,22.86,23.64,,,,,23.97,46.83,70.47,,,,,10,4,6.0,,85.0,18.5,12.5,,10,435.0,,
107,1997-07-13,ST,4,B,0,1400,GOOD,60-40,625000.0,4,13.8,21.64,24.28,23.43,,,,13.8,35.44,59.72,83.15,,,,8,4,12.0,,37.5,15.5,16.5,,8,135.0,,
108,1997-07-13,ST,5,B,0,1000,GOOD,95-75,1150000.0,2,13.06,21.0,22.96,,,,,13.06,34.06,57.02,,,,,13,10,1.0,,81.5,20.0,136.0,,13,334.5,,
109,1997-07-13,ST,6,B,0,1800,GOOD,80-60,850000.0,3,13.53,22.11,23.73,23.97,24.35,,,13.53,35.64,59.37,83.34,107.69,,,13,8,7.0,,84.5,137.5,66.0,,13,358.5,,
110,1997-07-13,ST,7,B,0,1200,GOOD,80-60,850000.0,3,23.86,22.03,23.35,,,,,23.86,45.89,69.24,,,,,2,4,3.0,,12.0,24.0,36.5,,2,20.5,,
111,1997-07-13,ST,8,B,0,1200,GOOD,G,2300000.0,13,23.69,22.77,22.35,,,,,23.69,46.46,68.81,,,,,10,4,13.0,,48.5,58.5,65.0,,10,153.5,,
112,1997-07-13,ST,9,B,0,1600,GOOD,G,2300000.0,13,25.17,23.45,23.91,22.18,,,,25.17,48.62,72.53,94.71,,,,2,8,11.0,,64.5,19.0,27.0,,2,224.0,,
113,1997-07-13,ST,10,B,0,1400,GOOD,105-80,1400000.0,1,13.66,21.97,23.97,22.41,,,,13.66,35.63,59.6,82.01,,,,9,4,3.0,,28.5,26.0,20.0,,9,126.5,,
114,1997-07-13,ST,11,B,0,1400,GOOD,85-60,850000.0,3,13.83,22.81,23.78,22.55,,,,13.83,36.64,60.42,82.97,,,,10,4,7.0,,12.0,17.5,22.0,,10,19.5,,
115,1997-07-16,ST,1,A,1,1200,GOOD,60-40,625000.0,4,23.73,22.91,23.31,,,,,23.73,46.64,69.95,,,,,10,11,6.0,,31.0,16.5,16.5,,10,101.0,,
116,1997-07-16,ST,2,A,1,1200,GOOD,40-10,485000.0,5,24.0,22.47,23.9,,,,,24.0,46.47,70.37,,,,,3,8,9.0,,36.5,42.5,27.0,,3,118.5,,
117,1997-07-16,ST,3,A,1,1200,GOOD,60-40,625000.0,4,24.53,22.47,23.43,,,,,24.53,47.0,70.43,,,,,4,2,6.0,,18.0,20.5,13.0,,4,73.5,,
118,1997-07-16,ST,4,A,1,1200,GOOD,80-60,850000.0,3,23.5,21.89,22.86,,,,,23.5,45.39,68.25,,,,,9,2,3.0,,12.5,34.5,201.0,,9,19.0,,
119,1997-07-16,ST,5,A,1,1650,GOOD,40-10,485000.0,5,28.78,23.62,24.95,23.96,,,,28.78,52.4,77.35,101.31,,,,1,8,5.0,,32.5,28.5,39.5,,1,97.0,,
120,1997-07-16,ST,6,A,1,1650,GOOD,60-40,625000.0,4,28.61,23.78,24.61,23.78,,,,28.61,52.39,77.0,100.78,,,,5,1,4.0,,82.0,38.5,19.0,,5,292.5,,
121,1997-07-16,ST,7,A,1,1650,GOOD,100-80,1150000.0,2,28.34,23.67,24.14,23.56,,,,28.34,52.01,76.15,99.71,,,,13,4,3.0,,26.5,39.5,28.0,,13,84.5,,
122,1997-07-16,ST,8,A,1,1650,GOOD,80-60,850000.0,3,28.09,23.02,24.12,24.24,,,,28.09,51.11,75.23,99.47,,,,12,5,10.0,,27.5,39.5,44.5,,12,70.0,,
123,1997-07-20,ST,1,C,0,1400,GOOD,40-10,,5,13.81,21.88,23.36,24.34,,,,13.81,35.69,59.05,83.39,,,,1,5,11.0,,13.0,42.5,18.0,,1,24.5,,
124,1997-07-20,ST,2,C,0,1200,GOOD,60-40,,4,23.95,22.58,23.71,,,,,23.95,46.53,70.24,,,,,4,3,5.0,,33.0,51.5,22.5,,4,133.0,,
125,1997-07-20,ST,3,C,0,1800,GOOD,40-0,,5,13.92,22.45,24.81,25.3,23.92,,,13.92,36.37,61.18,86.48,110.4,,,11,1,9.0,,119.5,19.0,65.5,,11,339.0,,
126,1997-07-20,ST,4,C,0,1400,GOOD,60-40,,4,13.73,22.08,23.78,23.54,,,,13.73,35.81,59.59,83.13,,,,1,6,3.0,,18.5,17.5,65.0,,1,64.5,,
